order_id,customer_id,order_date,total_amount
1001,29,2024-06-01,76.92
1002,2,2024-06-02,30.3
1003,26,2024-06-03,54.78
1004,11,2024-06-04,35.0
1005,17,2024-06-05,52.02
1006,21,2024-06-06,91.37
1007,8,2024-06-07,87.16
1008,3,2024-06-08,29.95
1009,4,2024-06-09,108.09
1010,22,2024-06-10,28.31
1011,5,2024-06-11,69.19
1012,18,2024-06-12,75.92
1013,27,2024-06-13,107.13
1014,4,2024-06-14,75.52
1015,7,2024-06-15,53.65
1016,29,2024-06-16,53.45
1017,13,2024-06-17,39.32
1018,12,2024-06-18,30.01
1019,27,2024-06-19,59.86
1020,28,2024-06-20,113.0
1021,6,2024-06-21,53.54
1022,7,2024-06-22,102.34
1023,17,2024-06-23,78.82
1024,1,2024-06-24,107.07
1025,20,2024-06-25,107.46
1026,30,2024-06-26,84.15
1027,9,2024-06-27,107.53
1028,26,2024-06-28,49.23
1029,19,2024-06-29,82.88
1030,10,2024-06-30,116.09
